iter	Logloss	Accuracy
835	0.1723139495	0.95371669
836	0.172160165	0.95371669
837	0.1720538122	0.95371669
838	0.1719670419	0.95371669
839	0.1718772544	0.95371669
840	0.1718624462	0.95371669
841	0.1716598624	0.95371669
842	0.1716572512	0.95371669
843	0.1715664807	0.95371669
844	0.1714106846	0.95371669
845	0.1710826969	0.95371669
846	0.1707920022	0.95371669
847	0.1706140621	0.95371669
848	0.1704984569	0.95371669
849	0.1701776929	0.95371669
850	0.170125669	0.95371669
851	0.1699733023	0.95371669
852	0.1699717275	0.95371669
853	0.1697855966	0.95371669
854	0.169452148	0.9551192146
855	0.1692372022	0.9551192146
856	0.1692224286	0.9551192146
857	0.1692011769	0.9551192146
858	0.1690738525	0.9551192146
859	0.1686694001	0.9551192146
860	0.1685914752	0.9551192146
861	0.1684503578	0.9551192146
862	0.1682257653	0.9551192146
863	0.1682135413	0.9551192146
864	0.1681507253	0.9551192146
865	0.168136851	0.9551192146
866	0.1677913916	0.9551192146
